Length,Sentence
27," Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . "
24," Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . "
13," That's true , but then you have to buy a record player . "
19, I will be all right soon . I was terrified when I watched them fall from the wire . 
29, I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . 
49," It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? "
12," Yes , he is . He loves the girl very much . "
27," No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . "
50," Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . "
20," I hate to admit it , but they're good . And fast . The Filipino kid is a genius . "
21," And I love trying new recipes , which I usually test with my friends . You can come , too . "
10, I know . I've even worked up a sweat . 
20, The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! 
19," It ’ s good . But to tell you the truth , I don ’ t wear perfume . "
18," All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . "
19, I was running around the track at my college and there she was walking around the same track . 
14, The first class is a Tuesday and Thursday class from two to three . 
13," Really ? Wow , I don't have to go to school tomorrow . "
16," Nice to meet you , Lean . My name is Alike . I'm from Japan . "
37, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
26," Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . "
8,How do you like the pizza here ? 
6,Do you have a light ? 
10,I was scared stiff of giving my first performance . 
20," No , this is a focus-free camera . All you have to do is point and press the button . "
21," Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . "
29," I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... "
22, You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . 
17," At school , in China.This is my first time to be out of my own country . "
15, Look ! there's a Folk concert tomorrow evening . Do you Want to go ? 
13, Do you have any hobbies like playing tennis or things like that ? 
11, John is in prison now . He was copped outstealing . 
37, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
21," Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . "
27," I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . "
17, How about a party at home ? That way we can get together and celebrate it . 
11," If you damage the video , you will be fined . "
20, And you often go back to live with your parents and leave our son in the room by himself . 
19, You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . 
14,"I feel like going for a drink , it's been a long day . "
31, Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . 
48," the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . "
16," Sounds interesting , I haven't gone boating for some time now , and what time ? "
25, I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . 
19, Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . 
13," Oh , that is a shame . He is really hard working . "
28," no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it . "
16, His nose is out of joint because we forgot to invite him to the party . 
35," Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something . "
19, Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon . 
31," I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home . "
10," I think so.Yes , they get along so well . "
23, First we will go to the city centre and stop for something to drink . Then we will visit the University Museum . 
19," I am not sure about the name of the film , but I know it's a romantic one . "
19, No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge . 
39," Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! "
22," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . "
16," Oh , dear . That ’ s terrible . Not at all what I expected . "
16, About ten years so far . I started learning when I was in middle school . 
10, How can you live without job in the future ? 
32," Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . "
72," Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . "
14," This party is going to have a DJ , food , and drinks . "
20, I missed a few classes ; I need to make sure I come to school on a regular basis . 
15,Good luck on your test tomorrow . We'll be crossing our fingers for you ! 
13, Will you take my materials back from him for me ? Please ! 
80, That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . 
7, I'm afraid it gains a little . 
70," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . "
57," There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! "
28," I don't think so . I think it's about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors . "
13, Nine ... but I'll be ten on May 1st.When is your birthday ? 
57," Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . "
5,Why are you shivering ? 
25," I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him . "
15, I think so . Maybe that ’ s why it ’ s cheap here . 
42, You are right . Our company ’ s Christmas party has always been an amazing occasion for everybody to relax and get to know each other better . It is also a time to make new friends and do some networking . 
13, I hope not . Then we'd have to reschedule our baseball game . 
15," Well , he has already taken you know , that's his wife right there . "
17," Was I ? Sorry , I didn ’ t mean to be . I do apologize . "
21," Well , on Saturday I cleaned the house and played tennis . Then on Sunday I hiked in the country . "
12,There will be a parade to celebrate National Day this weekend . 
30," Oh , well , I looked around . There wasn't any other space . I waited a while and nobody came . I'm sorry if I've taken your place . "
53," Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed . "
9,I'm going to Japan this year on vacation . 
24," They are . And not only that the people are friendly , but also the food is delicious , not to mention cheap . "
20," 1808 . The toilet doesn ’ t work properly , the water doesn ’ t run in the shower . "
20," OK , OK . I'll whisper it to you , but you have to promise not to tell anyone ! "
14,We are going to the concert this evening . Will you join us . 
37," I had the same feeling when I first came to work here . but after a period of time , I feel better , I am sure you ' ll get used to this busy job . "
14," Sorry , I'm engaged for the foxtrot.Will the next Walls be all right ? "
30," No , I'm a tourist . This place is amazing ! It's much bigger than I imagined , and much more exciting ! There's so much to see here . "
19," No , a lot of women stay home and take care of their families . But some work . "
17,Boy ! What a beauty ! I fall in love with her at the first sight . 
8," Oh , over there in Pacific Pavilion . "
22, Why are you choosing to leave a foreign country ? Many people are reluctant to leave the superior living environment abroad . 
31, It's no good . And I think spending several hours each day playing computer games is a waste of time . You might as well do something healthy and meaningful . 
48," I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future . "
8,Who's that old lady trimming the trees ? 
10, Hold on . We will be successful right away . 
56, I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! 
24, I won't be long . No more than ten minutes . Why don't you go ahead and I'll meet you in the park ? 
101," Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ? "
19, My boyfriend says I work too much . That I spend more time with you than with him . 
26, he is a nice guy and very considerate . I was impressed with how smart he was and he has a great sense of humor . 
75," Well , the air line lost my luggage on the return flight and then I lost my carry on bag when I was tackling with the officers in charge . I left the airport three hours later than I expected and then I was caught in a traffic jam . When I finally got home , I was totally exhausted . But I found the elevator was out of service due to a blackout . "
34," That's a good idea . Let's see if we can get more people in this plan . There isn't much business these days anyway , so I think many people will be interested . "
19, I don't like the way they sag down . I feel like I have plumber butt in them . 
14, Oh ! ! My car isn't working . I'm waiting for a tow-truck . 
22," Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . "
17, How about a party at home ? That way we can get together and celebrate it . 
6,"How about seconds , Victor ? "
9,Why don't you have dinner with me tonight ? 
20, I ’ ll stand in with you if you like . I ’ Ve got nothing else to do . 
20, I'd like to call on you this weekend . I just want to a drop in for a chat . 
29, You hit the white ball with your cue . The white ball hits the colored balls . And you want to get the colored balls into the pockets . 
10,How about going to hear a country-and-western singer tonight ? 
23," We can cover ourselves with beer ! That way if they bite us , they ’ ll get drunk and fall asleep . "
20,"Stop running around in front of the TV , will you ? Why don't you just sit and watch ? "
24," I tell ya , when I got the invite , it really threw me for a loop . You've done a complete 180 . "
36, Let the universe find us instead of forcing love . We prefer natural love . The most important thing is to be happy . Love will find us later . That is what we say . 
15," It was nice to see you , too.And please give my regards to Mrs.Robbins . "
8,Excuse me . Is this seat taken ? 
9,What do you think of the coming match ? 
12," Well , the state will benefit a lot , I suppose . "
41," that's what I thought you would do . Listen , I live in a bit of a rough neighborhood . It's just down the street from all the bars . You probably don't want to be walking around after dark . "
9,Jack wonders whether Linda likes him or not . 
29, Yeah . Li Na's mother has been building a fire under her since her neighbour's daughter got married with a Canadian . She's almost driving Li Na crazy . 
10,Where is John ? I can't find him anywhere . 
11, There is a wait right now to use the computers . 
9, Thank you.But does it really look all right ? 
15," If you ask me , I don ’ t think it ’ s guilty . "
19, Of course I should have ! You certainly deserve them ! You put up with all of us . 
30," Well , a good rule to follow is , for men you hold out your hand , for women and children , you wait and see what they do . "
34, Great . I have also been thinking of getting one . Do you think you could ask Jane to have a quiet word with Margaret ? My birthday is not that far away . 
9,Here's the restaurant we're meeting the Smiths at . 
22, The movie theater is always so crowded on the weekends . I like to go to the movies during the week . 
9, All right . But what was the trouble ? 
22,I can't believe Mr . Fro didn't buy it . Who does that guy think he is anyway ? Bill Gates ? 
41," Oh no , Ari . I didn ’ t mean for you to pay for me when I invited you to go tonight . Let ’ s go Dutch . I ’ ll pay my own way . I insist . "
29," Sometimes it takes too long to find the exact information you are looking for . Besides , I like to read a magazine in a coffee bar sometimes . "
19," It sure is . I'm glad it didn't rain . My name's Mike Gates , by the way . "
21," I've seen it so many times in books , but I never imagined I'd get to see it in person . "
29," yeah , but I ’ m not there for fun . I have to remain professional and if I get distracted , the manager would be pretty upset . "
11, Let me ask the old woman in that reception office . 
16, Yes . I'm fond of playing the chess and I'm very keen on playing cards . 
17, I couldn ’ t agree more . That ’ s an ideal place for a vacation . 
14," You should change your attitude , or you will not pass the course . "
18,It is high time you have a talk with him . That may help clear the mists . 
8,"What is the correct time , please ? "
8,Should I ask Sara to the party ? 
20,"If he promised to help you , I'm sure he will help . He's a man of his word . "
14,We're having a sixties party next week . Do you want to come ? 
41," A , whatever you do , the most important is perseverance . So you have to hang on there , the longer , the better . Then some day , you will find you've already made a lot of progress . "
30," Do you think so ? Well , I guess . He does look a lot like me . Oh , he ’ s got Richard ’ s eyes though . "
15," Thanks . I'm glad you say so . Oh , the music has stopped . "
21, Mario and I are the best students in the class . Miss Parker says that my pronunciation is very good . 
55," Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? "
64," That ’ s a little complicated . You ’ ll get to know it when you are acquainted with the U . S . history later on . Religion was and is a part of American people ’ s life . Guess what ? Even Harvard University , which is a highly academic institution , is in a sense the product of religion . "
15," Sorry , I really can't do that . There's little time left for us . "
36," I think most people do . I like wearing nice , colorful clothes in summer-you know , a nice dress or skirt . It ’ s too cold for those kinds of clothes in winter . "
21, I remember that someone says that it is difficult to forget the people who don ’ t want to forget . 
16, God save me ! Is there anything wrong with you ? Didn't I tell you ? 
16, Just about . There are at least a few hundred in our immediate family alone . 
14," Nice to meet you , Lvan.My name is Alike . I'm from Japan . "
